CH1,CH2,CH3,CH4,Label
92,58,40,32,focus
0,0,6,16,focus
90,53,32,24,focus
0,0,11,19,focus
86,47,25,19,focus
0,0,15,21,focus
79,42,21,15,focus
46,64,60,49,focus
0,0,0,10,focus
97,67,51,41,focus
0,0,0,12,focus
95,60,42,33,focus
0,0,5,15,focus
92,54,34,26,focus
0,0,10,18,focus
86,48,26,20,focus
0,0,15,21,focus
85,46,24,17,focus
0,16,31,32,focus
0,0,0,0,focus
97,67,46,32,focus
0,0,0,4,focus
96,63,44,32,focus
0,0,3,12,focus
91,56,36,27,focus
0,0,8,17,focus
89,50,29,22,focus
0,0,13,20,focus
81,45,23,18,focus
0,0,16,22,focus
32,0,0,0,focus
100,76,57,41,focus
0,0,0,9,focus
95,65,49,38,focus
